"WorkspaceId","UserName","Region","Status"
"ws-9kj4fqdgy","svenkatasw","us-east-1","Enabled"
"ws-4lqbb8f7j","jperissino","us-east-1","Enabled"
"ws-8191r60xk","kwarren1","us-east-1","Enabled"
"ws-1wrthgfcj","crubits","us-east-1","Enabled"
"ws-0kz1j4h5c","alemy","us-east-1","Enabled"
"ws-hmj61phw8","arasconana","us-east-1","Enabled"
"ws-4fbklx6w5","kbailey","us-east-1","Enabled"
"ws-chbbrd4gs","jfowler4","us-east-1","Enabled"
"ws-dchxn85g1","allamas","us-east-1","Enabled"
"ws-43pmvgdst","djackson13","us-east-1","Enabled"
"ws-1styp3w2c","jcruz20","us-east-1","Enabled"
"ws-blf914k73","sdesouza","us-east-1","Enabled"
"ws-3p05x9842","gcantu","us-east-1","Enabled"
"ws-9sfw6s732","mladid","us-east-1","Enabled"
"ws-9fc13snl0","ecarringto","us-east-1","Enabled"
"ws-jf6rvndnn","afox7","us-east-1","Enabled"
"ws-jyxmpwkc5","camos2","us-east-1","Enabled"
"ws-j02d4l165","chill17","us-east-1","Enabled"
"ws-jd8ht53yf","ivaldez","us-east-1","Enabled"
"ws-2f67yrqm5","sthompson4","us-east-1","Enabled"
"ws-w717smt2b","sjackson39","us-east-1","Enabled"
"ws-1vwzgm766","dstein","us-east-1","Enabled"
"ws-k9gtlfbzw","mescalona1","us-east-1","Enabled"
"ws-370y7d1pw","mbuckles","us-east-1","Enabled"
"ws-d9cxplzbg","mmajerus","us-east-1","Enabled"
"ws-3llzhj8lz","pkombin","us-east-1","Disabled"
"ws-g81sy0lpx","llawson2","us-east-1","Enabled"
"ws-9ncrwtsy6","cwebb6","us-east-1","Enabled"
"ws-5yxnqbjkc","acovingto2","us-east-1","Enabled"
"ws-fltmbn75c","da-afiano","us-east-1","Enabled"
"ws-v2p2hs4r1","agamez3","us-east-1","Enabled"
"ws-ch80hfws2","jcastill14","us-east-1","Enabled"
"ws-h80jnp96k","FCamping","us-east-1","Enabled"
"ws-23ptlcxnp","kwilliamson","us-east-1","Enabled"
"ws-jvvwv31y2","desparza1","us-east-1","Enabled"
"ws-1qnpf8hs7","apotter4","us-east-1","Enabled"
"ws-kw5ly2djp","vmurthy1","us-east-1","Enabled"
"ws-vcyys3jlc","aedwards22","us-east-1","Enabled"
"ws-gdr2gr684","cbermudez","us-east-1","Enabled"
"ws-dd2t25zns","imaldonado","us-east-1","Enabled"
"ws-3h7zjwf6b","ehughes2","us-east-1","Enabled"
"ws-ws64d7jn7","avargovich","us-east-1","Enabled"
"ws-crcj2z4xp","tskinner2","us-east-1","Enabled"
"ws-wv2y0h65f","oybarra","us-east-1","Enabled"
"ws-2yj017lw6","mchan","us-east-1","Enabled"
"ws-5wh3msr5d","hwalley","us-east-1","Enabled"
"ws-33577qymn","mjohnson70","us-east-1","Enabled"
"ws-bn5q530ck","dlawrence1","us-east-1","Enabled"
"ws-561kkrrmy","mcelada","us-east-1","Enabled"
"ws-hpzj6s3z9","syoung11","us-east-1","Enabled"
"ws-3lh26550h","lshirley","us-east-1","Enabled"
"ws-dw0xwrdyg","srussell3","us-east-1","Enabled"
"ws-bbskf29rw","asouza","us-east-1","Enabled"
"ws-g79vd40yq","mmcguire2","us-east-1","Enabled"
"ws-6g1gq29jl","cmacias1","us-east-1","Enabled"
"ws-6mhx6wdv0","jperezav","us-east-1","Enabled"
"ws-w3fsc536j","djimenez5","us-east-1","Enabled"
"ws-95fpp24lw","jreed33","us-east-1","Enabled"
"ws-0jn7x0zj6","lmurphy4","us-east-1","Enabled"
"ws-1yrkrmz5q","hdawson","us-east-1","Enabled"
"ws-7gj76vs54","swalker33","us-east-1","Enabled"
"ws-b9kpf1v0s","lmedlenka","us-east-1","Enabled"
"ws-5k2c22h2c","amazurherr","us-east-1","Enabled"
"ws-053dxt0jd","dgouchenou","us-east-1","Enabled"
"ws-bbfzxpsp4","lwilliam43","us-east-1","Enabled"
"ws-1tj6m2br3","lsmith47","us-east-1","Enabled"
"ws-crnc3lc7m","nmatzke","us-east-1","Enabled"
"ws-blnl6tgtl","jhall9","us-east-1","Enabled"
"ws-dp2tsd7jp","abrown74","us-east-1","Enabled"
"ws-w1h1cl452","rlitton","us-east-1","Enabled"
"ws-4p8td45jb","EGauna","us-east-1","Enabled"
"ws-v4syk9ll9","jkearney","us-east-1","Enabled"
"ws-j1hzyfdwv","shiremath","us-east-1","Enabled"
"ws-7v21knjm2","cmccoy5","us-east-1","Enabled"
"ws-kw1543l8f","kcampbel13","us-east-1","Enabled"
"ws-78msf932q","khooper","us-east-1","Enabled"
"ws-27gz0p5py","ddangelo","us-east-1","Enabled"
"ws-d9yqhlwsl","jrodrigu81","us-east-1","Enabled"
"ws-09ng7pfpz","amendez11","us-east-1","Enabled"
"ws-33qqd3hjs","aurdaneta1","us-east-1","Enabled"
"ws-6x9f3gmj6","swatson14","us-east-1","Enabled"
"ws-1drtfd7wr","ddublin1","us-east-1","Enabled"
"ws-3645k30x9","zbaig","us-east-1","Enabled"
"ws-7zwd59yq2","vjardeleza","us-east-1","Enabled"
"ws-04k4hqs23","cmathis3","us-east-1","Enabled"
"ws-fdv133v9h","jbridges3","us-east-1","Enabled"
"ws-38ygd3p5j","Alebron","us-east-1","Enabled"
"ws-w5wt1ncmr","sjeanty","us-east-1","Enabled"
"ws-f288cs9yf","cmuniz2","us-east-1","Enabled"
"ws-7s13wln5x","jdonnan","us-east-1","Enabled"
"ws-8gr9t1jwb","cdelgado1","us-east-1","Enabled"
"ws-bcybjm9lk","tmozie","us-east-1","Enabled"
"ws-0j4bmgmwc","jwiley7","us-east-1","Enabled"
"ws-gjg0h05vq","tmcbride1","us-east-1","Enabled"
"ws-gh1ymbdd0","mshaw1","us-east-1","Enabled"
"ws-85gjhgxx5","oramos","us-east-1","Enabled"
"ws-ctd3md586","mboldan","us-east-1","Enabled"
"ws-4d9qyxs59","jbarnes13","us-east-1","Enabled"
"ws-68xwvppq0","mpettigrew","us-east-1","Enabled"
"ws-0ksk7fyp5","sreid3","us-east-1","Enabled"
"ws-5fynh8f5y","klockwood1","us-east-1","Enabled"
"ws-dl1t00hr3","smanansala","us-east-1","Enabled"
"ws-3qnrg23kx","mhightower","us-east-1","Enabled"
"ws-vv7862v2m","AA-NRavuri","us-east-1","Enabled"
"ws-1b60hmkxf","jkraft1","us-east-1","Enabled"
"ws-dyr0g117s","kmorse1","us-east-1","Enabled"
"ws-wm7jrdbmz","lluppino","us-east-1","Enabled"
"ws-gd1rkcdqf","SRiehlin","us-east-1","Enabled"
"ws-dh76yqtqn","ahoman","us-east-1","Enabled"
"ws-8tqlqjs58","jmoll","us-east-1","Enabled"
"ws-9hd7nsrkw","ssua","us-east-1","Enabled"
"ws-7rh1zr6st","jmayamoral","us-east-1","Enabled"
"ws-w43rn9vr6","sgonzales5","us-east-1","Enabled"
"ws-c4sn37pbx","cchilds1","us-east-1","Enabled"
"ws-62rtz1kwd","akumar5","us-east-1","Enabled"
"ws-8rmsfz7f6","dgarcia34","us-east-1","Enabled"
"ws-gtfmr6k5r","ralamo","us-east-1","Enabled"
"ws-9fqv4zr7v","smurphy16","us-east-1","Enabled"
"ws-7s5rppm3z","sng","us-east-1","Enabled"
"ws-2m2hbcv75","glerma1","us-east-1","Enabled"
"ws-xpw7kbzqv","asmith61","us-east-1","Enabled"
"ws-9n90syyvh","tdacosta","us-east-1","Enabled"
"ws-9328nskgf","ayadav","us-east-1","Enabled"
"ws-hm8n88x74","ajose","us-east-1","Enabled"
"ws-076zsff9c","sgear","us-east-1","Enabled"
"ws-0zvk4ynw3","dhasan","us-east-1","Enabled"
"ws-bks23ctky","bvoss","us-east-1","Enabled"
"ws-k5mp2hrvh","apickens1","us-east-1","Enabled"
"ws-x0nz423xt","ahernandez4","us-east-1","Enabled"
"ws-vw4mlsylr","preyes4","us-east-1","Enabled"
"ws-37g585kyw","fhamilton1","us-east-1","Enabled"
"ws-3plfj6rv6","apadrino","us-east-1","Enabled"
"ws-5sx8rdmmh","kjones39","us-east-1","Enabled"
"ws-wrqws5b95","athompso30","us-east-1","Enabled"
"ws-dv2wyxvv8","kjulius1","us-east-1","Enabled"
"ws-28ppd8mps","jplouis","us-east-1","Enabled"
"ws-flpkmh2b8","nspickerma","us-east-1","Enabled"
"ws-5kqkg3fvp","fpina","us-east-1","Enabled"
"ws-7qxd3lxsg","crossman","us-east-1","Enabled"
"ws-9qn0ypm03","rlugo","us-east-1","Enabled"
"ws-05t27lx4v","awhite24","us-east-1","Enabled"
"ws-wcls6dz61","zanderson2","us-east-1","Enabled"
"ws-1rd6rsvw0","tjent","us-east-1","Enabled"
"ws-vv36gr58x","jgonzale69","us-east-1","Enabled"
"ws-2k63c769h","mlakin","us-east-1","Enabled"
"ws-g2mmkj68m","nravuri","us-east-1","Enabled"
"ws-7wdsz73qg","tfann","us-east-1","Enabled"
"ws-28txhcz7n","lweamert","us-east-1","Enabled"
"ws-7dmy4rprr","tphillips2","us-east-1","Enabled"
"ws-hnttqhkpt","ssingh10","us-east-1","Enabled"
